x,y,width,height,scores.neutral,scores.happiness,scores.surprise,scores.sadness,scores.anger,scores.disgust,scores.fear,scores.contempt
0.409375,0.277174,0.159375,0.277174,0.871535,0.126662,3.38891e-4,3.69869e-4,5.233e-6,2.82178e-5,2.87581e-7,0.00106056
0.40625,0.277174,0.159375,0.277174,0.861341,0.136081,3.41658e-4,4.92679e-4,1.023e-5,4.23803e-5,4.72337e-7,0.00169032
0.40625,0.277174,0.15625,0.271739,0.846778,0.150558,2.95733e-4,7.66719e-4,8.81177e-6,3.21445e-5,4.72831e-7,0.00155961
0.40625,0.271739,0.15625,0.271739,0.889325,0.108171,9.23294e-5,6.37682e-4,5.10519e-6,1.48087e-5,1.44021e-7,0.00175469
0.40625,0.271739,0.15625,0.271739,0.917458,0.0798917,1.47005e-4,7.02847e-4,7.11353e-6,2.10273e-5,2.1155e-7,0.00177257
0.40625,0.271739,0.15625,0.271739,0.85844,0.138443,1.33657e-4,0.00121905,8.87644e-6,2.83636e-5,3.88878e-7,0.00172615
0.40625,0.271739,0.15625,0.271739,0.964059,0.032353,1.34097e-4,0.00214466,1.90056e-5,3.95521e-5,6.1712e-7,0.00124958
0.40625,0.271739,0.15625,0.271739,0.975761,0.0202145,1.37e-4,0.00255117,3.30416e-5,5.38353e-5,8.62797e-7,0.00124894
0.40625,0.271739,0.15625,0.271739,0.978697,0.0172,1.35321e-4,0.00257203,3.26649e-5,4.90634e-5,7.50842e-7,0.00131347
0.403125,0.271739,0.15625,0.271739,0.940236,0.0551918,2.41076e-4,0.00136848,3.31229e-5,5.54435e-5,6.00204e-7,0.00287332
0.40625,0.271739,0.15625,0.271739,0.965203,0.0273574,2.9422e-4,0.0043257,9.11514e-5,9.85174e-5,2.65493e-6,0.00262724
0.40625,0.271739,0.15625,0.271739,0.934397,0.060339,2.11236e-4,0.00191671,4.45451e-5,5.84472e-5,8.17971e-7,0.00303182
0.40625,0.271739,0.15625,0.271739,0.909042,0.0849282,2.97473e-4,0.00210505,4.9004e-5,6.5187e-5,1.31151e-6,0.00351218
0.40625,0.271739,0.15625,0.271739,0.903514,0.0915327,1.73485e-4,0.0014811,2.91419e-5,4.26434e-5,6.51132e-7,0.00322625
0.40625,0.271739,0.15625,0.271739,0.86858,0.1274,8.82422e-5,8.65427e-4,2.18733e-5,3.04755e-5,2.94406e-7,0.00301301
